table,configuration,threads,chunk,run1_cold_s,run2_s,run3_s,avg_time_s,s_emp,s_theo,delta,throughput_iter_per_s,penalty_ratio,max_steps,checksum,hits
1_scaling,sequential_baseline,0,,4.057000,3.838000,3.827000,3.832500,,,,4961513.40,,704,79152463,15651383
1_scaling,parallel_k1,1,,4.274000,4.212000,4.218000,4.215000,0.909253,1.000000,0.090747,4511269.37,,704,79152463,15651383
1_scaling,parallel_k2,2,,2.191000,2.190000,2.302000,2.246000,1.706367,1.706367,0.000000,8466161.87,,704,79152463,15651383
1_scaling,parallel_k4,4,,1.236000,1.211000,1.217000,1.214000,3.156919,2.638100,-0.518819,15663097.37,,704,79152463,15651383
1_scaling,parallel_k8,8,,0.650000,0.644000,0.646000,0.645000,5.941860,3.628831,-2.313028,29480615.58,,704,79152463,15651383
1_scaling,parallel_k16,16,,0.473000,0.452000,0.435000,0.443500,8.641487,4.467759,-4.173728,42874855.02,,704,79152463,15651383
2_false_sharing,variant1_naive_false_sharing,14,,0.559000,0.574000,0.573000,0.573500,,,,33156057.13,1.5712,704,79152463,15651383
2_false_sharing,variant2_openmp_reduction,14,,0.379000,0.359000,0.371000,0.365000,,,,52095889.05,1.0000,704,79152463,15651383
2_false_sharing,variant2b_padded_struct,14,,0.464000,0.454000,0.445000,0.449500,,,,42302561.72,1.2315,704,79152463,15651383
2_false_sharing,isolation_volatile_adjacent,14,,0.570000,0.559000,0.561000,0.560000,,,,33955353.38,1.5342,704,79152463,15651383
2_false_sharing,isolation_volatile_padded,14,,0.437000,0.451000,0.447000,0.449000,,,,42349665.83,1.2301,704,79152463,15651383
2b_coherence_micro,volatile_adjacent_same_line,14,,0.075000,0.075000,0.071000,0.073000,,,,2739723271.43,12.1668,,,
2b_coherence_micro,volatile_padded_64B,14,,0.005000,0.007000,0.005000,0.006000,,,,33333762492.30,1.0000,,,
3_scheduling,schedule(static),14,Default (N / k),0.369000,0.366000,0.360000,0.363000,,,,52382915.02,1.0000,704,79152463,15651383
3_scheduling,schedule(static, 1000),14,1000,0.445000,0.456000,0.462000,0.459000,,,,41427016.03,1.2645,704,79152463,15651383
3_scheduling,schedule(dynamic, 100),14,100,0.435000,0.441000,0.444000,0.442500,,,,42971751.88,1.2190,704,79152463,15651383
3_scheduling,schedule(dynamic, 10000),14,10000,0.429000,0.437000,0.422000,0.429500,,,,44272411.45,1.1832,704,79152463,15651383
3_scheduling,schedule(guided),14,Exponential decay,0.421000,0.415000,0.419000,0.417000,,,,45599514.34,1.1488,704,79152463,15651383
